사용일자,요일,노선명,역명,승차총승객수,하차총승객수,승하자총승객수,연월,월일,등록일자
2019-01-01,월,1호선,병점,7821.0,10125.0,17946.0,2019-01,01-01,20190104
2019-01-01,월,1호선,세마,1599.0,1595.0,3194.0,2019-01,01-01,20190104
2019-01-01,월,1호선,오산대,1602.0,1844.0,3446.0,2019-01,01-01,20190104
2019-01-01,월,1호선,오산,7152.0,8320.0,15472.0,2019-01,01-01,20190104
2019-01-01,월,1호선,진위,687.0,657.0,1344.0,2019-01,01-01,20190104
2019-01-01,월,1호선,송탄,3133.0,3883.0,7016.0,2019-01,01-01,20190104
2019-01-01,월,1호선,서정리,2741.0,3899.0,6640.0,2019-01,01-01,20190104
2019-01-01,월,1호선,지제,1520.0,1470.0,2990.0,2019-01,01-01,20190104
2019-01-01,월,1호선,평택,10109.0,11931.0,22040.0,2019-01,01-01,20190104
2019-01-01,월,1호선,성환,2284.0,2971.0,5255.0,2019-01,01-01,20190104
2019-01-01,월,1호선,직산,560.0,656.0,1216.0,2019-01,01-01,20190104
2019-01-01,월,1호선,두정,3351.0,3791.0,7142.0,2019-01,01-01,20190104
2019-01-01,월,1호선,천안,5838.0,5644.0,11482.0,2019-01,01-01,20190104
2019-01-01,월,1호선,당정,2798.0,2831.0,5629.0,2019-01,01-01,20190104
2019-01-01,월,1호선,서동탄,853.0,854.0,1707.0,2019-01,01-01,20190104
2019-01-01,월,1호선,광명,2106.0,1120.0,3226.0,2019-01,01-01,20190104
2019-01-01,월,1호선,개봉,11366.0,11785.0,23151.0,2019-01,01-01,20190104
2019-01-01,월,1호선,오류동,7126.0,6603.0,13729.0,2019-01,01-01,20190104
2019-01-01,월,1호선,역곡,13653.0,14049.0,27702.0,2019-01,01-01,20190104
2019-01-01,월,1호선,부천,24321.0,24169.0,48490.0,2019-01,01-01,20190104
2019-01-01,월,1호선,송내,13728.0,13603.0,27331.0,2019-01,01-01,20190104
2019-01-01,월,1호선,부평,26675.0,26373.0,53048.0,2019-01,01-01,20190104
2019-01-01,월,1호선,백운,4075.0,4130.0,8205.0,2019-01,01-01,20190104
2019-01-01,월,1호선,동암,9795.0,10120.0,19915.0,2019-01,01-01,20190104
2019-01-01,월,1호선,주안,12610.0,11736.0,24346.0,2019-01,01-01,20190104
2019-01-01,월,1호선,제물포,4991.0,5047.0,10038.0,2019-01,01-01,20190104
2019-01-01,월,1호선,동인천,9620.0,9301.0,18921.0,2019-01,01-01,20190104
2019-01-01,월,1호선,인천,4037.0,3191.0,7228.0,2019-01,01-01,20190104
2019-01-01,월,1호선,구일,2626.0,2747.0,5373.0,2019-01,01-01,20190104
2019-01-01,월,1호선,소사,5991.0,5625.0,11616.0,2019-01,01-01,20190104
2019-01-01,월,1호선,부개,4529.0,4461.0,8990.0,2019-01,01-01,20190104
2019-01-01,월,1호선,간석,3092.0,3200.0,6292.0,2019-01,01-01,20190104
2019-01-01,월,1호선,도원,1554.0,1683.0,3237.0,2019-01,01-01,20190104
2019-01-01,월,1호선,온수,3375.0,3493.0,6868.0,2019-01,01-01,20190104
2019-01-01,월,1호선,중동,4532.0,4354.0,8886.0,2019-01,01-01,20190104
2019-01-01,월,1호선,도화,2147.0,2036.0,4183.0,2019-01,01-01,20190104
2019-01-01,월,4호선,이촌,1794.0,1411.0,3205.0,2019-01,01-01,20190104
2019-01-01,월,경의선,서빙고,985.0,931.0,1916.0,2019-01,01-01,20190104
2019-01-01,월,경의선,한남,1854.0,1881.0,3735.0,2019-01,01-01,20190104
2019-01-01,월,3호선,옥수,37.0,15.0,52.0,2019-01,01-01,20190104
2019-01-01,월,경의선,응봉,1038.0,998.0,2036.0,2019-01,01-01,20190104
2019-01-01,월,경의선,왕십리,9343.0,10917.0,20260.0,2019-01,01-01,20190104
2019-01-01,월,경의선,청량리,12457.0,10701.0,23158.0,2019-01,01-01,20190104
2019-01-01,월,1호선,외대앞,4926.0,5138.0,10064.0,2019-01,01-01,20190104
2019-01-01,월,1호선,신이문,4433.0,4326.0,8759.0,2019-01,01-01,20190104
2019-01-01,월,1호선,석계,4814.0,5617.0,10431.0,2019-01,01-01,20190104
2019-01-01,월,1호선,광운대,3909.0,4242.0,8151.0,2019-01,01-01,20190104
2019-01-01,월,1호선,월계,2739.0,2593.0,5332.0,2019-01,01-01,20190104
2019-01-01,월,1호선,녹천,2325.0,2064.0,4389.0,2019-01,01-01,20190104
2019-01-01,월,4호선,창동,1.0,0.0,1.0,2019-01,01-01,20190104
2019-01-01,월,1호선,방학,4948.0,4832.0,9780.0,2019-01,01-01,20190104
2019-01-01,월,1호선,도봉,2948.0,2837.0,5785.0,2019-01,01-01,20190104
2019-01-01,월,1호선,도봉산,6061.0,4147.0,10208.0,2019-01,01-01,20190104
2019-01-01,월,1호선,망월사,3812.0,3928.0,7740.0,2019-01,01-01,20190104
2019-01-01,월,1호선,회룡,5852.0,5907.0,11759.0,2019-01,01-01,20190104
2019-01-01,월,1호선,의정부,13158.0,13688.0,26846.0,2019-01,01-01,20190104
2019-01-01,월,1호선,가능,3650.0,3455.0,7105.0,2019-01,01-01,20190104
2019-01-01,월,1호선,녹양,2576.0,2469.0,5045.0,2019-01,01-01,20190104
2019-01-01,월,1호선,양주,4430.0,4531.0,8961.0,2019-01,01-01,20190104
2019-01-01,월,1호선,덕계,921.0,944.0,1865.0,2019-01,01-01,20190104
2019-01-01,월,1호선,덕정,3126.0,3527.0,6653.0,2019-01,01-01,20190104
2019-01-01,월,1호선,지행,3983.0,4104.0,8087.0,2019-01,01-01,20190104
2019-01-01,월,1호선,동두천중앙,2278.0,2317.0,4595.0,2019-01,01-01,20190104
2019-01-01,월,1호선,보산,1205.0,1386.0,2591.0,2019-01,01-01,20190104
2019-01-01,월,1호선,동두천,1165.0,1606.0,2771.0,2019-01,01-01,20190104
2019-01-01,월,1호선,소요산,3392.0,2992.0,6384.0,2019-01,01-01,20190104
2019-01-01,월,4호선,산본,8393.0,8881.0,17274.0,2019-01,01-01,20190104
2019-01-01,월,4호선,대야미,2081.0,1959.0,4040.0,2019-01,01-01,20190104
2019-01-01,월,4호선,반월,2377.0,2535.0,4912.0,2019-01,01-01,20190104
2019-01-01,월,4호선,상록수,10014.0,10203.0,20217.0,2019-01,01-01,20190104
2019-01-01,월,4호선,한대앞,4049.0,4038.0,8087.0,2019-01,01-01,20190104
2019-01-01,월,4호선,중앙,10711.0,10218.0,20929.0,2019-01,01-01,20190104
2019-01-01,월,4호선,고잔,3563.0,3501.0,7064.0,2019-01,01-01,20190104
2019-01-01,월,4호선,초지,1450.0,1406.0,2856.0,2019-01,01-01,20190104
2019-01-01,월,4호선,안산,11879.0,11028.0,22907.0,2019-01,01-01,20190104
2019-01-01,월,4호선,신길온천,867.0,872.0,1739.0,2019-01,01-01,20190104
2019-01-01,월,4호선,정왕,4760.0,5818.0,10578.0,2019-01,01-01,20190104
2019-01-01,월,4호선,오이도,5627.0,5620.0,11247.0,2019-01,01-01,20190104
2019-01-01,월,4호선,수리산,1784.0,1596.0,3380.0,2019-01,01-01,20190104
2019-01-01,월,4호선,선바위,2761.0,2700.0,5461.0,2019-01,01-01,20190104
2019-01-01,월,4호선,경마공원,403.0,385.0,788.0,2019-01,01-01,20190104
2019-01-01,월,4호선,대공원,1965.0,2052.0,4017.0,2019-01,01-01,20190104
2019-01-01,월,4호선,과천,2297.0,1961.0,4258.0,2019-01,01-01,20190104
2019-01-01,월,4호선,정부과천청사,4099.0,3289.0,7388.0,2019-01,01-01,20190104
2019-01-01,월,4호선,인덕원,9927.0,10043.0,19970.0,2019-01,01-01,20190104
2019-01-01,월,4호선,평촌,5531.0,5523.0,11054.0,2019-01,01-01,20190104
2019-01-01,월,4호선,범계,12216.0,12117.0,24333.0,2019-01,01-01,20190104
2019-01-01,월,2호선,선릉,1941.0,3032.0,4973.0,2019-01,01-01,20190104
2019-01-01,월,분당선,한티,5342.0,5467.0,10809.0,2019-01,01-01,20190104
2019-01-01,월,3호선,도곡,2036.0,1993.0,4029.0,2019-01,01-01,20190104
2019-01-01,월,분당선,구룡,474.0,492.0,966.0,2019-01,01-01,20190104
2019-01-01,월,분당선,개포동,961.0,1079.0,2040.0,2019-01,01-01,20190104
2019-01-01,월,분당선,대모산입구,1149.0,1165.0,2314.0,2019-01,01-01,20190104
2019-01-01,월,3호선,수서,7145.0,6377.0,13522.0,2019-01,01-01,20190104
2019-01-01,월,1호선,수원,5244.0,3277.0,8521.0,2019-01,01-01,20190104
2019-01-01,월,분당선,서울숲,2438.0,2524.0,4962.0,2019-01,01-01,20190104
2019-01-01,월,분당선,압구정로데오,4421.0,4818.0,9239.0,2019-01,01-01,20190104
2019-01-01,월,분당선,강남구청,1963.0,2280.0,4243.0,2019-01,01-01,20190104
2019-01-01,월,분당선,선정릉,1536.0,1498.0,3034.0,2019-01,01-01,20190104
2019-01-01,월,분당선,가천대,2715.0,3568.0,6283.0,2019-01,01-01,20190104
2019-01-01,월,분당선,태평,7532.0,7607.0,15139.0,2019-01,01-01,20190104
2019-01-01,월,분당선,모란,10774.0,11021.0,21795.0,2019-01,01-01,20190104
2019-01-01,월,분당선,야탑,13411.0,13402.0,26813.0,2019-01,01-01,20190104
2019-01-01,월,분당선,서현,13639.0,13356.0,26995.0,2019-01,01-01,20190104
2019-01-01,월,분당선,수내,4585.0,4740.0,9325.0,2019-01,01-01,20190104
2019-01-01,월,분당선,정자,6053.0,6525.0,12578.0,2019-01,01-01,20190104
2019-01-01,월,분당선,미금,7701.0,8273.0,15974.0,2019-01,01-01,20190104
2019-01-01,월,분당선,오리,5304.0,4825.0,10129.0,2019-01,01-01,20190104
2019-01-01,월,분당선,이매,2362.0,2487.0,4849.0,2019-01,01-01,20190104
2019-01-01,월,분당선,보정,935.0,910.0,1845.0,2019-01,01-01,20190104
2019-01-01,월,분당선,죽전,6560.0,7824.0,14384.0,2019-01,01-01,20190104
2019-01-01,월,분당선,구성,1843.0,2108.0,3951.0,2019-01,01-01,20190104
2019-01-01,월,분당선,신갈,1835.0,1870.0,3705.0,2019-01,01-01,20190104
2019-01-01,월,분당선,기흥,4639.0,4760.0,9399.0,2019-01,01-01,20190104
2019-01-01,월,분당선,상갈,2632.0,2831.0,5463.0,2019-01,01-01,20190104
2019-01-01,월,분당선,청명,1749.0,1882.0,3631.0,2019-01,01-01,20190104
2019-01-01,월,분당선,영통,4640.0,5168.0,9808.0,2019-01,01-01,20190104
2019-01-01,월,분당선,망포,5260.0,6121.0,11381.0,2019-01,01-01,20190104
